paper_id,title,authors,venue,year,doi,abstract,citation_count,source,source_url,synthetic
CAND-001,Deep Learning Approaches To Image Classification: Exploring The Future Of Visual Data Analysis,Manikanth Sarisa|Venkata Nagesh Boddapati|Gagan Kumar Patra|Chandrababu Kuraku|Siddharth Konkimalla,,2022,10.53555/kuey.v28i4.7863,"Over the past decade, deep learning has emerged as a revolutionary technology for the analysis of visual data, particularly images. This master's thesis focuses on deep learning approaches to image classification, which is a key task in many applications using visual data analysis. A state-of-the-art deep learning model, namely the Vision Transformer (ViT), is explored for image classification. ViT is trained using transfer-learning techniques on a new dataset of over 350,000 photographs of European buildings in eight cities, obtained across two separate flights from a drone-mounted camera. Initial results demonstrate that models pre-trained on large datasets such as JFT-300M can achieve performance competitively with the fine-tuning of models trained from scratch on smaller datasets and that ViT outperforms convolutional neural networks for drone-captured images. Further, the prospects of deep learning for image classification are discussed, highlighting the potential impact of new research directions within the architectural vision transformer domain (e.g., Swin-Transformer, CrossViTs, T2T-vision Transformer) and new training techniques (e.g., Vision-Language Pre-training models, multi-modality input). The exponential increase in data generated by cameras, mobile devices, and Internet-of-Things (IoT) sensors has escalated the need for automated processing and analysis of visual data. Furthermore, images and video frames are a popular medium for data collection across various domains, including commercial and industrial. Image classification, or finding the most relevant label for a given photograph, is one key task in many applications using visual data analysis. Popular applications include multimedia search engines, mobile applications navigating to points of interest (POI), and anomaly detection in industrial cameras. As a consequence, many datasets have been assembled, containing millions of photographs collected and labeled according to city, object, or scene. Deep neural networks trained end-to-end directly on pixels have become state-of-the-art image classification technology. More recently, architectures based solely on attention mechanisms, eschewing convolutions, have challenged the long-standing dominance of convolutional neural networks.",4,scopus_export,https://doi.org/10.53555/kuey.v28i4.7863,false
CAND-002,Development of Anomalous Video Detection System using Hybrid-Features Analysis of Actions and Scene-Backgrounds Information,Bharindra Kamanditya,,2022,10.1109/ciss53076.2022.9751197,,0,scopus_export,https://doi.org/10.1109/ciss53076.2022.9751197,false
CAND-003,Learning Task-Specific Representation for Video Anomaly Detection with Spatial-Temporal Attention,Yang Liu|Jing Liu|Xiaoguang Zhu|Donglai Wei|Xiaohong Huang|Liang Song,"ICASSP 2022 - 2022 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",2022,10.1109/icassp43922.2022.9746822,,45,scopus_export,https://doi.org/10.1109/icassp43922.2022.9746822,false
CAND-004,Supervised Contrastive Learning for Detecting Anomalous Driving Behaviours from Multimodal Videos,Shehroz S. Khan|Ziting Shen|Haoying Sun|Ax Patel|Ali Abedi,,2022,10.1109/crv55824.2022.00011,,13,scopus_export,https://doi.org/10.1109/crv55824.2022.00011,false
CAND-005,The utility of datasets in crowd modelling and analysis: a survey,Sahar Waqar|Usman Ghani Khan|M. Hamza Waseem|Samyan Qayyum,Multimedia Tools and Applications,2022,10.1007/s11042-022-13227-x,,9,scopus_export,https://doi.org/10.1007/s11042-022-13227-x,false
CAND-006,Deep Reinforcement Learning-based anomaly detection for Video Surveillance,Sabrina Messaoud Aberkane|M. Elarbi-Boudihir,Informatica,2022,10.31449/inf.v46i2.3603,"The anomaly detection in automated video surveillance is considered as one of the most critical tasks to be solved, in which we aim to detect a variety of real-world abnormalities. This paper introduces a novel approach for anomaly detection based on deep reinforcement learning. In recent years, deep reinforcement learning has been achieving a significant success in various applications with data of a high degree of complexity such as robotics and games, by mimicking the way humans learn from experiences. Generally, the state-of-the-art methods classify a video as normal or abnormal without pinpointing the exact location of the anomaly in the input video due to the unlabeled clip-level data in training videos. We focus on adapting the prioritized Dueling deep Q-networks to the anomaly detection problem. This model learns to evaluate the anomaly in video clips by exploiting the video-level label to obtain a better detection accuracy. Extensive experiments on 13 cases class of real-word anomaly show that our DRL agent achieved a near optimal performance with a high accuracy in the real world video surveillance system compared to the state-of-the-art approaches.",8,scopus_export,https://doi.org/10.31449/inf.v46i2.3603,false
CAND-007,Video Anomaly Detection Based on Convolutional Recurrent AutoEncoder,Bokun Wang|Caiqian Yang,Sensors,2022,10.3390/s22124647,"As an essential task in computer vision, video anomaly detection technology is used in video surveillance, scene understanding, road traffic analysis and other fields. However, the definition of anomaly, scene change and complex background present great challenges for video anomaly detection tasks. The insight that motivates this study is that the reconstruction error for normal samples would be lower since they are closer to the training data, while the anomalies could not be reconstructed well. In this paper, we proposed a Convolutional Recurrent AutoEncoder (CR-AE), which combines an attention-based Convolutional Long-Short-Term Memory (ConvLSTM) network and a Convolutional AutoEncoder. The ConvLSTM network and the Convolutional AutoEncoder could capture the irregularity of the temporal pattern and spatial irregularity, respectively. The attention mechanism was used to obtain the current output characteristics from the hidden state of each Covn-LSTM layer. Then, a convolutional decoder was utilized to reconstruct the input video clip and the testing video clip with higher reconstruction error, which were further judged to be anomalies. The proposed method was tested on two popular benchmarks (UCSD ped2 Dataset and Avenue Dataset), and the experimental results demonstrated that CR-AE achieved 95.6% and 73.1% frame-level AUC on two public datasets, respectively.",28,scopus_export,https://doi.org/10.3390/s22124647,false
CAND-008,Anomalous Object Detection with Deep Learning,L. Poojitha,International Journal for Research in Applied Science and Engineering Technology,2022,10.22214/ijraset.2022.44581,"Abstract: In many computers vision systems, object identification and monitoring are crucial characteristics. Object identification and monitoring is a difficult job in the fields of computer vision that attempts to identify, recognize and track things across a video series of pictures. It aids in the understanding and description of object behaviour rather than relying on human operators to monitor the computers. Its goal is to find moving things in a video clip or a security camera. On the other hand, rely heavily on computers, on the other hand many respect attributes approaches. The system collects a snapshot from the camera, process it as per the models requirements and the outputs the data to the tensorflow framework which provides a list of the frames discoveries and the objects dependability points and connections to their binding containers. Before exposing the object to the user, the software takes those connections and creates a rectangle adjacent to it. This research detects the presence of anomalous items in camera-captured sequences, with anomalies being things that correspond to categories that should not be present in a given scene.",0,scopus_export,https://doi.org/10.22214/ijraset.2022.44581,false
CAND-009,Abnormal Event Detection with Self-guiding Multi-instance Ranking Framework,Yang Liu|Jing Liu|Wei Ni|Liang Song,2022 International Joint Conference on Neural Networks (IJCNN),2022,10.1109/ijcnn55064.2022.9892231,,11,scopus_export,https://doi.org/10.1109/ijcnn55064.2022.9892231,false
CAND-010,Multiple instance-based video anomaly detection using deep temporal encoding–decoding,Ammar Mansoor Kamoona|Amirali Khodadadian Gostar|Alireza Bab‐Hadiashar|Reza Hoseinnezhad,Expert Systems with Applications,2022,10.1016/j.eswa.2022.119079,,57,scopus_export,https://doi.org/10.1016/j.eswa.2022.119079,false
