paper_id,title,authors,venue,year,doi,abstract,citation_count,source,source_url,synthetic,citation_key,relevance_reason,method_relation,publication_date,fulltext_status,pdf_artifact_ref,verified
CORE-001,Harnessing Large Language Models for Training-Free Video Anomaly Detection,Luca Zanella|Willi Menapace|Massimiliano Mancini|Yiming Wang|Elisa Ricci,,2024,10.1109/cvpr52733.2024.01753,,85,scopus_export,https://doi.org/10.1109/cvpr52733.2024.01753,false,zanella2024harnessing,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-002,"Uncovering what, why and How: A Comprehensive Benchmark for Causation Understanding of Video Anomaly",Hang Du|Sicheng Zhang|Binzhu Xie|Guoshun Nan|Jiayang Zhang|Junrui Xu|Hangyu Liu|Sicong Leng|Jiangming Liu|Hehe Fan|Dajiu Huang|Jing Feng|Linli Chen|Can Zhang|Xuhuan Li|Hao Zhang|Jianhang Chen|Qimei Cui|Xiaofeng Tao,,2024,10.1109/cvpr52733.2024.01778,,26,scopus_export,https://doi.org/10.1109/cvpr52733.2024.01778,false,du2024uncovering,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-003,Open-Vocabulary Video Anomaly Detection,Peng Wu|Xuerong Zhou|Guansong Pang|Yujia Sun|Jing Liu|Peng Wang|Zhang Yanning,,2024,10.1109/cvpr52733.2024.01732,,86,scopus_export,https://doi.org/10.1109/cvpr52733.2024.01732,false,wu2024open,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-004,Delving into CLIP latent space for Video Anomaly Recognition,Luca Zanella|Benedetta Liberatori|Willi Menapace|Fabio Poiesi|Yiming Wang|Elisa Ricci,Computer Vision and Image Understanding,2024,10.1016/j.cviu.2024.104163,,60,scopus_export,https://doi.org/10.1016/j.cviu.2024.104163,false,zanella2024delving,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-005,AADC-Net: A Multimodal Deep Learning Framework for Automatic Anomaly Detection in Real-Time Surveillance,Duc Tri Phan|Vu Hoang Minh Doan|Jaeyeop Choi|Byeong-Il Lee|Junghwan Oh,IEEE Transactions on Instrumentation and Measurement,2025,10.1109/tim.2025.3551832,,16,scopus_export,https://doi.org/10.1109/tim.2025.3551832,false,phan2025aadc,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-006,MoniTor: Exploiting Large Language Models with Instruction for Online Video Anomaly Detection,Shengtian Yang|Yue Feng|Y. Liu|Jingrou Zhang|Jie Qin,,2025,10.52202/085713-1204,"Video Anomaly Detection (VAD) aims to locate unusual activities or behaviors within videos. Recently, offline VAD has garnered substantial research attention, which has been invigorated by the progress in large language models (LLMs) and vision-language models (VLMs), offering the potential for a more nuanced understanding of anomalies. However, online VAD has seldom received attention due to real-time constraints and computational intensity. In this paper, we introduce a novel Memory-based online scoring queue scheme for Training-free VAD (MoniTor), to address the inherent complexities in online VAD. Specifically, MoniTor applies a streaming input to VLMs, leveraging the capabilities of pre-trained large-scale models. To capture temporal dependencies more effectively, we incorporate a novel prediction mechanism inspired by Long Short-Term Memory (LSTM) networks. This ensures the model can effectively model past states and leverage previous predictions to identify anomalous behaviors. Thereby, it better understands the current frame. Moreover, we design a scoring queue and an anomaly prior to dynamically store recent scores and cover all anomalies in the monitoring scenario, providing guidance for LLMs to distinguish between normal and abnormal behaviors over time. We evaluate MoniTor on two large datasets (i.e., UCF-Crime and XD-Violence) containing various surveillance and real-world scenarios. The results demonstrate that MoniTor outperforms state-of-the-art methods and is competitive with weakly supervised methods without training. Code is available at https://github.com/YsTvT/MoniTor.",0,scopus_export,https://doi.org/10.52202/085713-1204,false,yang2025monitor,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-007,Missiongnn: Hierarchical Multimodal GNN-Based Weakly Supervised Video Anomaly Recognition with Mission-Specific Knowledge Graph Generation,Sanggeon Yun|Ryozo Masukawa|Minhyoung Na|Mohsen Imani,,2025,10.1109/wacv61041.2025.00464,,10,scopus_export,https://doi.org/10.1109/wacv61041.2025.00464,false,yun2025missiongnn,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-008,Continuous GNN-Based Anomaly Detection on Edge Using Efficient Adaptive Knowledge Graph Learning,Sanggeon Yun|Ryozo Masukawa|William Youngwoo Chung|Minhyoung Na|Nathaniel D. Bastian|Mohsen Imani,,2025,10.23919/date64628.2025.10993194,,2,scopus_export,https://doi.org/10.23919/date64628.2025.10993194,false,yun2025continuous,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-009,MMVAD: A vision–language model for cross-domain video anomaly detection with contrastive learning and scale-adaptive frame segmentation,Debojyoti Biswas|Jelena Tešić,Expert Systems with Applications,2025,10.1016/j.eswa.2025.127857,,12,scopus_export,https://doi.org/10.1016/j.eswa.2025.127857,false,biswas2025mmvad,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
CORE-010,SmartHome-Bench: A Comprehensive Benchmark for Video Anomaly Detection in Smart Homes Using Multi-Modal Large Language Models,Xinyi Zhao|C. C. Zhang|Pei Guo|Wei Liu|Lin Chen|Chaoyue Zhao|Shuai Huang,,2025,10.1109/cvprw67362.2025.00382,,5,scopus_export,https://doi.org/10.1109/cvprw67362.2025.00382,false,zhao2025smarthome,Included in the provided second-round VAD and large-model literature set.,background_or_related_work,,excluded_copyright_unverified,,true
